round,k,parity_n,support,threshold,distance_at_support,relative_distance_at_support
0,1,7,1,1,8,1.0
1,2,14,1,2,14,0.875
1,2,14,2,3,14,0.875
2,4,28,1,4,26,0.8125
2,4,28,2,6,25,0.78125
2,4,28,3,6,26,0.8125
2,4,28,4,7,26,0.8125
3,8,56,1,8,50,0.78125
3,8,56,2,12,47,0.734375
3,8,56,3,12,48,0.75
3,8,56,4,14,47,0.734375
3,8,56,5,14,48,0.75
3,8,56,6,14,49,0.765625
3,8,56,7,14,50,0.78125
3,8,56,8,15,50,0.78125
4,16,112,1,16,98,0.765625
4,16,112,2,24,91,0.7109375
4,16,112,3,24,92,0.71875
4,16,112,4,28,89,0.6953125
4,16,112,5,28,90,0.703125
4,16,112,6,28,91,0.7109375
4,16,112,7,28,92,0.71875
4,16,112,8,30,91,0.7109375
4,16,112,9,30,92,0.71875
4,16,112,10,30,93,0.7265625
4,16,112,11,30,94,0.734375
4,16,112,12,31,94,0.734375
4,16,112,13,31,95,0.7421875
4,16,112,14,31,96,0.75
4,16,112,15,31,97,0.7578125
4,16,112,16,32,97,0.7578125
5,32,224,1,32,194,0.7578125
5,32,224,2,49,178,0.6953125
5,32,224,3,49,179,0.69921875
5,32,224,4,57,172,0.671875
5,32,224,5,57,173,0.67578125
5,32,224,6,57,174,0.6796875
5,32,224,7,57,175,0.68359375
5,32,224,8,61,172,0.671875
5,32,224,9,61,173,0.67578125
5,32,224,10,61,174,0.6796875
5,32,224,11,61,175,0.68359375
5,32,224,12,63,174,0.6796875
5,32,224,13,63,175,0.68359375
5,32,224,14,63,176,0.6875
5,32,224,15,63,177,0.69140625
5,32,224,16,65,176,0.6875
5,32,224,17,65,177,0.69140625
5,32,224,18,65,178,0.6953125
5,32,224,19,65,179,0.69921875
5,32,224,20,65,180,0.703125
5,32,224,21,65,181,0.70703125
5,32,224,22,65,182,0.7109375
5,32,224,23,65,183,0.71484375
5,32,224,24,65,184,0.71875
5,32,224,25,65,185,0.72265625
5,32,224,26,65,186,0.7265625
5,32,224,27,65,187,0.73046875
5,32,224,28,65,188,0.734375
5,32,224,29,65,189,0.73828125
5,32,224,30,65,190,0.7421875
5,32,224,31,65,191,0.74609375
5,32,224,32,66,191,0.74609375
6,64,448,1,65,385,0.751953125
6,64,448,2,99,352,0.6875
6,64,448,3,99,353,0.689453125
6,64,448,4,116,337,0.658203125
6,64,448,5,116,338,0.66015625
6,64,448,6,116,339,0.662109375
6,64,448,7,116,340,0.6640625
6,64,448,8,124,333,0.650390625
6,64,448,9,124,334,0.65234375
6,64,448,10,124,335,0.654296875
6,64,448,11,124,336,0.65625
6,64,448,12,128,333,0.650390625
6,64,448,13,128,334,0.65234375
6,64,448,14,128,335,0.654296875
6,64,448,15,128,336,0.65625
6,64,448,16,132,333,0.650390625
6,64,448,17,132,334,0.65234375
6,64,448,18,132,335,0.654296875
6,64,448,19,132,336,0.65625
6,64,448,20,132,337,0.658203125
6,64,448,21,132,338,0.66015625
6,64,448,22,132,339,0.662109375
6,64,448,23,132,340,0.6640625
6,64,448,24,132,341,0.666015625
6,64,448,25,132,342,0.66796875
6,64,448,26,132,343,0.669921875
6,64,448,27,132,344,0.671875
6,64,448,28,132,345,0.673828125
6,64,448,29,132,346,0.67578125
6,64,448,30,132,347,0.677734375
6,64,448,31,132,348,0.6796875
6,64,448,32,134,347,0.677734375
6,64,448,33,134,348,0.6796875
6,64,448,34,134,349,0.681640625
6,64,448,35,134,350,0.68359375
6,64,448,36,134,351,0.685546875
6,64,448,37,134,352,0.6875
6,64,448,38,134,353,0.689453125
6,64,448,39,134,354,0.69140625
6,64,448,40,134,355,0.693359375
6,64,448,41,134,356,0.6953125
6,64,448,42,134,357,0.697265625
6,64,448,43,134,358,0.69921875
6,64,448,44,134,359,0.701171875
6,64,448,45,134,360,0.703125
6,64,448,46,134,361,0.705078125
6,64,448,47,134,362,0.70703125
6,64,448,48,135,362,0.70703125
6,64,448,49,135,363,0.708984375
6,64,448,50,135,364,0.7109375
6,64,448,51,135,365,0.712890625
6,64,448,52,135,366,0.71484375
6,64,448,53,135,367,0.716796875
6,64,448,54,135,368,0.71875
6,64,448,55,135,369,0.720703125
6,64,448,56,135,370,0.72265625
6,64,448,57,135,371,0.724609375
6,64,448,58,135,372,0.7265625
6,64,448,59,135,373,0.728515625
6,64,448,60,135,374,0.73046875
6,64,448,61,135,375,0.732421875
6,64,448,62,135,376,0.734375
6,64,448,63,135,377,0.736328125
6,64,448,64,136,377,0.736328125
